id,level_id,total_time,donuts,candy,level,progress,id Quizo,nbr Items,badge المثابرة,التركيز,النجاح,التميز,الإرتقاء,total_Time_Education,nb_mistakes,correct Question,correct_Q_Math,correct_Q_Science,correct_Q_Ar,correct_Q_Fr,Q_Best_Time,best_time_math,best_time_science,best_time_ar,best_time_fr,Q_Worst_Time,worst_time_math,worst_time_science,worst_time_ar,worst_time_fr,Q_Avg_Time,Avg_Time_math,Avg_Time__science,Avg_Time_ar,Avg_Time_fr
62827,3,0:22:36,25,350,1,0,NULL,0,2,5,4,0,,6986,48,25,25,0,0,0,2,2,0,0,0,2,2,0,0,0,21,21,0,0,0
62830,3,0:06:57,17,350,1,0,NULL,0,0,2,3,3,,1484,15,17,17,0,0,0,12,12,0,0,0,0,0,0,0,0,5,5,0,0,0
62834,6,0:23:11,19,350,1,0,NULL,0,3,7,3,4,,7210,13,15,12,3,0,0,0,0,0,0,0,2,1,1,0,0,13,11,2,0,0
62835,3,0:02:45,1,350,1,0,NULL,0,0,1,0,0,,98,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62841,5,4:12:27,118,350,1,0,NULL,0,9,7,4,7,,65765,33,86,45,26,6,9,9,4,3,1,1,22,8,9,3,2,55,33,14,2,6
62842,6,0:42:05,27,350,1,0,NULL,0,3,4,1,3,,10262,5,14,15,9,3,1,6,5,0,1,0,2,1,1,0,0,6,9,8,2,1
62844,4,1:35:02,145,2475,3,0.1333333403,NULL,0,5,7,7,7,2,26005,35,97,97,0,0,0,20,20,0,0,0,1,1,0,0,0,76,76,0,0,0
62846,5,0:37:00,16,350,1,0,NULL,0,3,5,1,2,,14028,7,16,16,0,0,0,0,0,0,0,0,7,7,0,0,0,9,9,0,0,0
62848,6,1:12:03,20,350,1,0,NULL,0,6,7,0,4,,31976,130,60,11,13,0,2,5,3,2,0,0,2,2,0,0,0,53,6,11,0,2
62850,5,0:53:10,46,350,1,0,NULL,0,3,6,4,2,,15211,58,47,47,0,0,0,2,2,0,0,0,1,1,0,0,0,44,44,0,0,0
62852,3,0:01:33,2,350,1,0,NULL,0,0,0,0,0,,175,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
62862,3,0:46:02,65,350,2,0.2000000179,41626,1,3,7,7,3,1,14133,50,42,42,0,0,0,2,2,0,0,0,3,3,0,0,0,37,37,0,0,0
62864,5,0:02:41,1,350,1,0,NULL,0,0,2,0,0,,763,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
62866,4,0:21:37,14,350,1,0,NULL,0,2,5,2,1,,6377,16,14,10,4,0,0,1,0,1,0,0,3,2,1,0,0,10,8,2,0,0
62870,3,1:13:52,67,1758,2,0.15,41630,2,4,7,3,3,1,21574,31,28,10,0,18,0,4,4,0,0,0,3,0,0,3,0,21,6,0,15,0
62872,6,0:36:28,30,975,1,0,NULL,0,3,5,1,2,,12194,16,14,0,14,0,0,0,0,0,0,0,4,0,4,0,0,10,0,10,0,0
62874,4,1:41:54,75,350,1,0,NULL,0,5,7,6,2,,23121,92,55,44,11,0,0,9,7,2,0,0,3,2,1,0,0,43,35,8,0,0
62877,3,0:11:33,4,350,1,0,NULL,0,1,3,0,0,,889,2,4,2,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,0,0
62879,5,0:14:31,12,350,1,0,NULL,0,1,2,1,4,,1967,0,9,1,8,0,0,1,0,1,0,0,1,0,1,0,0,7,1,6,0,0
62881,3,0:44:00,33,350,1,0,NULL,0,3,7,4,7,,14644,11,33,33,0,0,0,5,5,0,0,0,6,6,0,0,0,22,22,0,0,0
62884,4,6:24:55,179,475,4,0.5813955069,41639,1,10,7,4,5,4,96061,71,97,16,26,55,0,13,0,6,7,0,10,3,3,4,0,74,13,17,44,0
